"History for account SchwabOne XXXX-1865 as of 10/05/2008 02:09:02 EDT for 01/01/2007 to 12/31/2007"
"Date","Action","Quantity","Symbol","Description","Price","Amount","Fees & Comm"
"09/20/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$22,605.0000",""
"09/20/2007","Sell","10,021.6600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$10,021.6600",""
"09/19/2007","",""," ","IRS        51311865 type: SCHWAB CHECK","","$-10,000.0000",""
"09/19/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-21.6600",""
"09/19/2007","Sell","11.4000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$11.4000",""
"09/18/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.4000",""
"09/18/2007","","199.1500","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"09/18/2007","Sell","440.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$440.0000",""
"09/17/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-103.0000",""
"09/17/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-337.0000",""
"09/17/2007","Sell","54.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$54.0000",""
"09/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-54.0000",""
"09/13/2007","Sell","3,584.6700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$3,584.6700",""
"09/12/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-3,522.0100",""
"09/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-62.6600",""
"09/11/2007","Sell","1,062.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,062.5000",""
"09/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"09/07/2007","Sell","11.9500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$11.9500",""
"09/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.9500",""
"09/05/2007","Sell","393.7400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$393.7400",""
"09/04/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1.2300",""
"09/04/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-34.9000",""
"09/04/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-30.5200",""
"09/04/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-306.5000",""
"09/04/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-20.5900",""
"09/04/2007","Sell","1,774.4700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,774.4700",""
"08/31/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-115.0000",""
"08/31/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-9.4700",""
"08/31/2007","Sell","825.1500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$825.1500",""
"08/31/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-100.0000",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-28.5100",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-26.1300",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-8.1700",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-50.2300",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-27.7700",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-73.5000",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-20.8300",""
"08/30/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-490.0100",""
"08/30/2007","Sell","21.3800","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$21.3800",""
"08/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-21.3800",""
"08/29/2007","Sell","183.7900","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$183.7900",""
"08/28/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-62.7200",""
"08/28/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-71.2600",""
"08/28/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-49.8100",""
"08/28/2007","Sell","46.2500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$46.2500",""
"08/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-46.2500",""
"08/27/2007","Sell","28.7100","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$28.7100",""
"08/24/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-19.6000",""
"08/24/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-9.1100",""
"08/24/2007","Sell","4,092.8800","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$4,092.8800",""
"08/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-4,092.8800",""
"08/23/2007","Sell","90.1200","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$90.1200",""
"08/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-17.0000",""
"08/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-15.0000",""
